"","votes_for_A","votes_for_B","votes_for_C","gender","p_changes_vote"
"1",0,1,0,1,0.0627102600239585
"2",0,0,1,0,0.409047465803245
"3",0,0,1,1,0.21073354431658
"4",0,0,1,1,0.304020061242
"5",1,0,0,0,0.317170061126455
"6",1,0,0,1,0.47978708587424
"7",1,0,0,0,0.157391252015891
"8",0,0,0,0,0
"9",0,0,1,0,0.148125940229011
"10",1,0,0,0,0.170174300572997
"11",0,1,0,1,0.0574828923720163
"12",1,0,0,0,0.292244181262391
"13",0,1,0,0,0.0555217254012276
"14",1,0,0,0,0.771014588934308
"15",0,0,0,0,0
"16",0,1,0,0,0.0379074416056782
"17",1,0,0,1,0.341767660736544
"18",0,0,0,0,0
"19",1,0,0,1,0.239345287631075
"20",0,0,1,0,0.141833358434604
"21",1,0,0,0,0.216050818836947
"22",1,0,0,0,0.566242257691998
"23",0,0,1,1,0.160841669007195
"24",0,0,0,0,0
"25",0,1,0,0,0.0470410743727955
"26",1,0,0,1,0.177001461077787
"27",0,1,0,1,0.0475932805193272
"28",0,0,0,0,0
"29",0,0,1,1,0.158432394429699
"30",0,0,1,0,0.0490374597547958
"31",0,0,1,0,0.186705195918002
"32",0,1,0,0,0.0379642417761684
"33",1,0,0,1,0.695303633740523
"34",0,0,0,0,0
"35",0,0,1,1,0.0082597079482607
"36",0,0,0,0,0
"37",0,0,1,1,0.321340567044698
"38",1,0,0,0,0.521999809036279
"39",0,0,1,1,0.295016074310432
"40",1,0,0,0,0.375434519177964
"41",0,0,1,0,0.511543819531664
"42",0,0,1,0,0.0977199843805
"43",0,0,1,0,0.171306670603917
"44",1,0,0,1,0.237935950458691
"45",0,0,1,1,0.255879595205076
"46",0,0,1,1,0.475724209428034
"47",1,0,0,1,0.4280735413313
"48",1,0,0,0,0.307171029159944
"49",0,0,0,0,0
"50",0,0,0,0,0
"51",1,0,0,1,0.200036168454673
"52",1,0,0,0,0.471155448105223
"53",0,1,0,1,0.0564552113205297
"54",0,0,1,1,0.131359465962437
"55",0,0,1,1,0
"56",0,1,0,0,0.0460116002567566
"57",0,0,0,0,0
"58",0,1,0,1,0.0443469868375103
"59",1,0,0,0,0.374218235389145
"60",1,0,0,1,0.334137639913889
"61",1,0,0,0,0.257066429006899
"62",1,0,0,0,0.520708565936301
"63",0,0,0,0,0
"64",1,0,0,1,0.470741305420175
"65",0,0,1,1,0.139374152419664
"66",0,1,0,0,0.0395710308761707
"67",1,0,0,0,0.211419419155025
"68",0,0,1,1,0.416438653578339
"69",1,0,0,1,0.341499181324535
"70",0,0,0,0,0
"71",0,0,1,0,0.259000418882354
"72",1,0,0,0,0.562631501899539
"73",1,0,0,1,0.783400313234088
"74",1,0,0,0,0.212147427413428
"75",1,0,0,0,0.179147415158849
"76",0,0,0,0,0
"77",1,0,0,0,0.856354390320285
"78",0,0,0,0,0
"79",0,0,0,0,0
"80",1,0,0,0,0.800978465302452
"81",1,0,0,0,0.154677871920189
"82",0,0,0,0,0
"83",0,1,0,1,0.0365343277551566
"84",0,0,1,0,0.100911890698838
"85",0,0,0,0,0
"86",1,0,0,0,0.329493903980744
"87",1,0,0,1,0.454135561617869
"88",1,0,0,0,0.572519508369291
"89",0,0,1,1,0.391228118245472
"90",0,0,1,1,0
"91",0,1,0,1,0.0548112482107002
"92",0,0,0,0,0
"93",0,0,1,1,0.230515359795077
"94",1,0,0,1,0.436663232125503
"95",0,0,1,1,0
"96",1,0,0,1,0.341790823636503
"97",0,0,1,1,0.235836866285893
"98",1,0,0,0,0.256132612591543
"99",0,0,1,0,0.259378976586505
"100",0,0,0,0,0
"101",0,0,0,0,0
"102",0,0,1,1,0.399139627999468
"103",0,0,1,1,0.286408980869345
"104",1,0,0,0,0.430012985239983
"105",0,0,0,0,0
"106",1,0,0,1,0.236146032673563
"107",1,0,0,0,0.514601915149135
"108",0,0,0,0,0
"109",0,0,1,0,0.315680336797253
"110",0,0,1,1,0.0747912248057121
"111",0,1,0,1,0.0483030624666367
"112",0,0,0,0,0
"113",1,0,0,0,0.124071029182592
"114",0,1,0,0,0.0533094091313305
"115",1,0,0,0,0.372401761949935
"116",1,0,0,1,0.155049849500243
"117",0,0,1,1,0.281002473760676
"118",0,1,0,0,0.0623067565597058
"119",0,1,0,0,0.0466729908812491
"120",1,0,0,1,0.450836306114547
"121",0,1,0,0,0.0634378398196754
"122",0,0,1,0,0.3085733416847
"123",1,0,0,0,0.137371458767106
"124",1,0,0,1,0.253613813661161
"125",1,0,0,1,0.463813328220538
"126",1,0,0,1,0.482302098487143
"127",0,1,0,1,0.0451896438848563
"128",0,0,0,0,0
"129",0,0,1,1,0.276832874267438
"130",1,0,0,0,0.327689299044996
"131",0,1,0,0,0.0434257404646524
"132",0,0,1,0,0.146211830396605
"133",1,0,0,1,0.37952102271962
"134",0,0,0,0,0
"135",0,1,0,0,0.0304120916960026
"136",0,0,0,0,0
"137",1,0,0,0,0.57898664905294
"138",1,0,0,0,0.899795253441053
"139",1,0,0,0,0.2370513709438
"140",1,0,0,0,0.260311702144653
"141",1,0,0,1,0.462464374653179
"142",1,0,0,0,0.670260184029344
"143",0,0,1,1,0.33361848593739
"144",1,0,0,0,0.461495187458731
"145",1,0,0,0,0.147804746237214
"146",0,1,0,1,0.044280616012652
"147",1,0,0,0,0.289754714612206
"148",0,0,1,1,0.323566938495629
"149",1,0,0,1,0
"150",0,1,0,0,0.0408112925670042
"151",0,1,0,1,0.0619913889285926
"152",0,0,0,0,0
"153",0,1,0,1,0.0680694631846472
"154",0,0,1,1,0.0779091188820803
"155",0,0,1,0,0.279169067287745
"156",0,0,1,1,0.275148914782535
"157",1,0,0,1,0.589394427712552
"158",0,1,0,0,0.0528353156150592
"159",0,0,1,1,0.156566360574383
"160",0,1,0,0,0.0461994939770603
"161",1,0,0,0,0.341487054018986
