# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec  5 05:36:43 2017
#
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
#
rowid,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_dens,st_dist,st_teff,st_mass,st_rad
1,326.03000000,1.290000,0.231000,,19.40000,,,110.62,4742.00,2.70,19.00
2,516.22000000,1.540000,0.080000,,10.50000,,,119.47,4340.00,1.80,24.08
3,185.84000000,0.830000,0.000000,,4.80000,,,76.39,4813.00,2.20,11.00
4,1773.40000000,2.770000,0.369000,,4.64000,,,18.15,5311.00,0.90,
5,798.50000000,1.681000,0.681000,,1.68000,,,21.41,5674.00,0.99,
6,993.30000000,2.600000,0.080000,,10.30000,,,73.10,4979.00,2.30,8.50
7,,330.000000,,,8.00000,,,145.00,4060.00,0.85,
8,452.80000000,1.333000,0.090000,,1.99000,,,74.79,5098.00,1.54,4.90
9,883.00000000,2.080000,0.290000,,0.86000,,,74.79,5098.00,1.54,4.90
10,,52.000000,,,24.50000,,,36.00,3530.00,0.40,
11,,156.000000,,,13.90000,1.440,,39.40,3064.00,0.11,0.28
12,,15.000000,,,7.50000,,,140.00,,0.02,
13,,46.000000,,,4.00000,,,52.40,,0.02,
14,416.00000000,0.920000,,,1.90000,,,,,0.48,
15,7336.50000000,,0.260000,46.200,20.95000,0.920,,25.00,2300.00,0.08,0.12
16,,230.000000,,,12.50000,,,74.00,4045.00,0.60,
17,335.10000000,0.995000,0.289000,,9.88000,,,39.43,6300.00,1.16,1.13
18,269.30000000,0.870000,0.432000,,7.10000,,,77.40,4415.00,1.23,18.11
19,479.10000000,1.190000,0.380000,,3.88000,,,97.28,4200.00,0.98,22.03
20,1078.00000000,2.100000,0.032000,,2.53000,,,14.08,5892.00,1.03,1.23
21,2391.00000000,3.600000,0.098000,,0.54000,,,14.08,5892.00,1.03,1.23
22,14002.00000000,11.600000,0.160000,,1.64000,,,14.08,5892.00,1.03,1.23
23,,13.200000,,,2.00000,,,29.40,,1.75,
24,4.23078500,0.052700,0.013000,,0.47200,,,15.36,5793.00,1.12,1.20
25,14.65152000,0.115227,0.003400,90.000,0.83060,,,12.53,5196.00,0.91,0.94
26,44.41750000,0.241376,0.020000,90.000,0.17140,,,12.53,5196.00,0.91,0.94
27,4825.00000000,5.503000,0.019000,90.000,3.87800,,,12.53,5196.00,0.91,0.94
28,0.73653900,0.015440,,83.300,0.02542,0.170,6.40000,12.53,5196.00,0.91,0.94
29,262.00000000,0.788000,0.305000,90.000,0.14100,,,12.53,5196.00,0.91,0.94
30,874.77400000,2.180000,0.125000,,2.21000,,,56.95,4978.00,1.70,5.20
31,4.21500000,0.050201,0.120000,,0.01600,,,8.52,5577.00,0.94,0.96
